City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Cape Town,ZA,71.38,scattered clouds,-33.9258,18.4232,Townhouse Hotel
6,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
7,Sao Geraldo Do Araguaia,BR,83.75,broken clouds,-6.4006,-48.555,Tomazi Hotel
20,Pitimbu,BR,88.39,clear sky,-7.4706,-34.8086,Pousada Brisa Mar
27,Mar Del Plata,AR,78.84,few clouds,-38.0023,-57.5575,Nuevo Ostende
28,Hithadhoo,MV,81.88,overcast clouds,-0.6,73.0833,Pebbles Inn
30,Maceio,BR,87.24,scattered clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
38,Salalah,OM,74.62,broken clouds,17.0151,54.0924,Muscat International Hotel
53,Piacabucu,BR,86.49,clear sky,-10.4056,-36.4344,O Leão
54,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Grand Bel Air
55,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,Le Baril
60,Cornelio Procopio,BR,86.31,clear sky,-23.1811,-50.6467,Hotel Midas
64,Buchanan,LR,83.37,broken clouds,5.8808,-10.0467,Phillipmena's Guesthouse
66,Pisco,PE,77.18,overcast clouds,-13.7,-76.2167,La Portada
78,Cidreira,BR,82.58,scattered clouds,-30.1811,-50.2056,Hotel Castelo
79,Bartica,GY,85.68,few clouds,6.4,-58.6167,Rockville Hotel
80,San Rafael,AR,85.75,clear sky,-34.6177,-68.3301,Hotel Regional
83,Ondjiva,AO,80.98,broken clouds,-17.0667,15.7333,Águia Verde Hotel
86,Antalaha,MG,78.48,scattered clouds,-14.9003,50.2788,Hôtel Florida
90,Atar,MR,73.51,broken clouds,20.5169,-13.0499,فندق سكليل
95,Castro,BR,82.47,clear sky,-24.7911,-50.0119,Hotel Central Palace
98,Bathsheba,BB,78.82,broken clouds,13.2167,-59.5167,Atlantis Hotel
99,Sao Joao Da Barra,BR,80.49,broken clouds,-21.6403,-41.0511,Pousada Mediterrâneo
107,Souillac,MU,80.22,light rain,-20.5167,57.5167,Hotel SkylineInn
113,Sao Felix Do Xingu,BR,84.27,overcast clouds,-6.6447,-51.995,Hotel Terraço
118,Sao Filipe,CV,75.88,scattered clouds,14.8961,-24.4956,Bela Vista
121,Guapi,CO,81.73,light rain,2.5708,-77.8854,Mas Gorgona
131,Kigoma,TZ,77.95,scattered clouds,-4.8769,29.6267,sunset vista hotel
134,Chavakkad,IN,77.11,clear sky,10.5333,76.05,ever green
137,Antofagasta,CL,72.68,broken clouds,-23.65,-70.4,Hotel Colón
138,Camopi,GF,82.09,overcast clouds,3.1655,-52.3158,Chez Lucia
140,Georgetown,MY,81.23,few clouds,5.4112,100.3354,Page 63 hostel
143,Kasane,BW,74.95,moderate rain,-17.8167,25.15,Kasane Travel Lodge
145,Bajil,YE,78.96,broken clouds,15.0584,43.2851,فندق و أجنحة الشرق الأوسط
148,Inongo,CD,80.26,few clouds,-1.95,18.2667,Chez LELE IYOLO
151,Richards Bay,ZA,79.65,clear sky,-28.783,32.0377,Protea Hotel
152,Warri,NG,85.95,light rain,5.5167,5.75,Warri Sapele Road
162,The Valley,AI,78.94,scattered clouds,18.217,-63.0578,CeBlue
175,Muisne,EC,79.83,light rain,0.6,-80.0333,Hostal Té de Menta
178,Maxixe,MZ,82.47,clear sky,-23.8597,35.3472,Hotel Herry
180,Rio Grande,BR,84.52,light rain,-32.035,-52.0986,Hotel Vila Moura Executivo
181,Grand Gaube,MU,79.38,light rain,-20.0064,57.6608,Coco Villa
184,Gualaquiza,EC,78.75,overcast clouds,-3.4,-78.55,Hotel Internacional
192,Takoradi,GH,84.13,overcast clouds,4.8845,-1.7554,Hillcrest
196,Namibe,AO,78.08,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
200,Caravelas,BR,86.47,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
204,Tamandare,BR,85.33,scattered clouds,-8.7597,-35.1047,Pousada Baia dos Corais
207,Sinnamary,GF,79.56,overcast clouds,5.3833,-52.95,Hôtel du fleuve
208,Morondava,MG,83.55,broken clouds,-20.2833,44.2833,Hotel Sharon Menabe
212,Mecca,SA,79.43,clear sky,21.4267,39.8261,Rehab Al Marwa Hotel 1
219,Bengkulu,ID,76.39,light rain,-3.8004,102.2655,Dena Hotel
236,Calbuco,CL,70.81,clear sky,-41.768,-73.1273,Hotel Colonial
246,Iquique,CL,75.24,scattered clouds,-20.2208,-70.1431,Hostal Vivar
259,Robertsport,LR,81.63,few clouds,6.7533,-11.3686,Nana's Lodge
260,Isla Mujeres,MX,78.85,broken clouds,21.2311,-86.731,Villa La Bella
266,Taltal,CL,71.91,scattered clouds,-25.4,-70.4833,Hostería Taltal
267,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Hotel Prainha
268,Labe,GN,88.77,overcast clouds,11.3182,-12.2833,GHT (Grand Hotel du Tourisme)
