City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ponta Do Sol,PT,32.6667,-17.1,65.12,67,80,5.59,light rain
1,Manicore,BR,-5.8092,-61.3003,82.35,78,20,5.75,few clouds
2,Bredasdorp,ZA,-34.5322,20.0403,62.37,69,100,14.65,overcast clouds
3,Burlatskoye,RU,45.0564,43.635,36.14,93,100,13.76,overcast clouds
4,Cape Town,ZA,-33.9258,18.4232,71.38,58,40,27.63,scattered clouds
5,Tasiilaq,GL,65.6145,-37.6368,22.75,95,100,8.32,snow
6,Hambantota,LK,6.1241,81.1185,79.14,89,20,5.75,few clouds
7,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,83.75,70,76,3.62,broken clouds
8,Van,TR,38.4924,43.3831,29.55,93,75,3.44,mist
9,Juba,SS,4.8517,31.5825,95.79,16,18,8.34,few clouds
10,Lagoa,PT,39.05,-27.9833,57.43,74,62,12.59,broken clouds
11,Oriximina,BR,-1.7656,-55.8661,77.88,82,100,4.34,overcast clouds
12,Kostomuksha,RU,64.571,30.5767,28.22,93,100,15.03,overcast clouds
13,Gondomar,PT,41.1445,-8.5322,54.97,56,0,8.05,clear sky
14,Pamyat Parizhskoy Kommuny,RU,56.1048,44.4952,2.26,100,28,2.19,scattered clouds
15,Hermanus,ZA,-34.4187,19.2345,64.8,73,100,18.79,light rain
16,Ushuaia,AR,-54.8,-68.3,58.66,44,0,26.46,clear sky
17,Edd,ER,13.9297,41.6925,82.15,56,68,24.05,broken clouds
18,Kruisfontein,ZA,-34.0033,24.7314,62.89,88,90,17.4,light rain
19,Zhezkazgan,KZ,47.8043,67.7144,-0.42,85,40,6.71,scattered clouds
20,Pitimbu,BR,-7.4706,-34.8086,88.39,56,7,14.07,clear sky
21,Barbastro,ES,42.0356,0.1269,54.14,53,0,4.14,clear sky
22,Saint-Nazaire,FR,47.2833,-2.2,42.78,72,100,10.36,overcast clouds
23,Hamilton,US,39.1834,-84.5333,46.98,63,100,3.0,overcast clouds
24,Vardo,NO,70.3705,31.1107,33.46,89,99,8.25,overcast clouds
25,Mazara Del Vallo,IT,37.6641,12.588,51.93,62,85,8.81,overcast clouds
26,Margate,GB,51.3813,1.3862,42.91,69,33,3.0,scattered clouds
27,Mar Del Plata,AR,-38.0023,-57.5575,78.84,81,20,10.36,few clouds
28,Hithadhoo,MV,-0.6,73.0833,81.88,75,97,12.39,overcast clouds
29,Bahar,IR,34.9072,48.4414,21.36,86,49,0.0,mist
30,Maceio,BR,-9.6658,-35.7353,87.24,58,40,14.97,scattered clouds
31,Gamba,GA,-2.65,10.0,78.85,76,100,5.46,overcast clouds
32,Varkaus,FI,62.3153,27.873,29.3,92,100,12.68,overcast clouds
33,Aasiaat,GL,68.7098,-52.8699,13.77,82,100,13.4,overcast clouds
34,Arrecife,ES,28.963,-13.5477,66.18,52,75,18.41,light rain
35,Otanche,CO,5.6567,-74.1825,79.54,55,45,3.76,scattered clouds
36,Cuxhaven,DE,53.8718,8.6909,37.6,81,75,6.91,broken clouds
37,Ribeira Grande,PT,38.5167,-28.7,61.2,72,75,11.99,broken clouds
38,Salalah,OM,17.0151,54.0924,74.62,35,80,14.88,broken clouds
39,Novorzhev,RU,57.0294,29.3338,18.54,95,13,5.73,few clouds
40,Abha,SA,18.2164,42.5053,62.42,67,20,9.22,few clouds
41,Lasa,IT,46.6166,10.7002,33.37,93,62,4.56,broken clouds
42,East London,ZA,-33.0153,27.9116,74.34,68,0,26.46,clear sky
43,Rorvik,NO,64.8621,11.2373,37.51,65,75,23.02,broken clouds
44,Goundam,ML,16.4145,-3.6708,77.99,6,90,11.07,overcast clouds
45,De Aar,ZA,-30.6497,24.0123,90.18,11,6,27.47,clear sky
46,Coquimbo,CL,-29.9533,-71.3436,69.66,67,0,6.11,clear sky
47,Jalu,LY,29.0331,21.5482,61.21,34,34,7.54,scattered clouds
48,Qaanaaq,GL,77.484,-69.3632,-5.13,62,5,8.03,clear sky
49,Vestmanna,FO,62.1564,-7.1664,41.92,87,100,13.8,overcast clouds
50,Gewane,ET,10.1664,40.6453,85.62,31,12,9.4,few clouds
51,Bayan,CN,46.0833,127.4,-13.59,98,98,3.2,overcast clouds
52,Clyde River,CA,70.4692,-68.5914,-3.77,77,100,24.16,overcast clouds
53,Piacabucu,BR,-10.4056,-36.4344,86.49,52,6,13.35,clear sky
54,Mahebourg,MU,-20.4081,57.7,79.25,84,79,4.12,broken clouds
55,Saint-Philippe,RE,-21.3585,55.7679,80.19,90,100,1.95,light rain
56,Nuuk,GL,64.1835,-51.7216,16.41,86,100,20.71,snow
57,Shelburne,CA,44.0787,-80.2041,27.9,78,53,11.27,broken clouds
58,Coihaique,CL,-45.5752,-72.0662,64.2,66,89,10.38,overcast clouds
59,Saint George,US,37.1041,-113.5841,42.76,52,2,0.98,clear sky
60,Cornelio Procopio,BR,-23.1811,-50.6467,86.31,51,5,2.04,clear sky
61,Ilulissat,GL,69.2167,-51.1,15.82,73,75,11.5,broken clouds
62,Bam,IR,29.106,58.357,40.95,71,97,2.75,overcast clouds
63,Bambous Virieux,MU,-20.3428,57.7575,79.21,84,81,4.74,light rain
64,Buchanan,LR,5.8808,-10.0467,83.37,66,63,9.57,broken clouds
65,Lunenburg,CA,44.3835,-64.3155,37.09,77,58,11.65,broken clouds
66,Pisco,PE,-13.7,-76.2167,77.18,65,85,7.76,overcast clouds
67,Arraial Do Cabo,BR,-22.9661,-42.0278,85.86,74,0,12.66,clear sky
68,Upernavik,GL,72.7868,-56.1549,-2.49,93,100,3.49,overcast clouds
69,Porto Walter,BR,-8.2686,-72.7439,91.94,41,97,4.54,overcast clouds
70,Comodoro Rivadavia,AR,-45.8667,-67.5,73.62,42,0,4.38,clear sky
71,Punta Arenas,CL,-53.15,-70.9167,59.11,47,40,42.57,scattered clouds
72,Wellington,NZ,-41.2866,174.7756,65.59,99,100,13.8,overcast clouds
73,San Ramon,US,37.7799,-121.978,46.81,93,100,4.61,fog
74,Nalut,LY,30.3333,10.85,52.5,24,0,9.4,clear sky
75,Paratinga,BR,-12.6906,-43.1842,86.5,50,57,1.36,broken clouds
76,Port Alfred,ZA,-33.5906,26.891,69.19,87,36,5.01,light rain
77,Busselton,AU,-33.65,115.3333,58.71,70,24,14.92,few clouds
78,Cidreira,BR,-30.1811,-50.2056,82.58,68,27,10.38,scattered clouds
79,Bartica,GY,6.4,-58.6167,85.68,49,21,3.67,few clouds
80,San Rafael,AR,-34.6177,-68.3301,85.75,29,0,9.66,clear sky
81,Belmonte,BR,-15.8631,-38.8828,81.64,72,29,7.83,moderate rain
82,Goderich,CA,43.7501,-81.7165,29.91,74,100,15.59,overcast clouds
83,Ondjiva,AO,-17.0667,15.7333,80.98,52,76,4.45,broken clouds
84,Brae,GB,60.3964,-1.353,45.27,76,100,16.35,overcast clouds
85,Victoria,HK,22.2855,114.1577,57.25,29,29,11.99,scattered clouds
86,Antalaha,MG,-14.9003,50.2788,78.48,90,44,5.21,scattered clouds
87,Luderitz,NA,-26.6481,15.1594,74.79,59,0,31.23,clear sky
88,Klaksvik,FO,62.2266,-6.589,43.72,84,100,23.87,overcast clouds
89,Olafsvik,IS,64.8945,-23.7142,40.87,87,73,19.91,broken clouds
90,Atar,MR,20.5169,-13.0499,73.51,23,77,12.55,broken clouds
91,Tortoli,IT,39.9256,9.6572,48.22,76,100,3.6,overcast clouds
92,Samfya,ZM,-11.3649,29.5565,68.79,88,100,4.99,moderate rain
93,Hammerfest,NO,70.6634,23.6821,36.05,69,75,18.41,broken clouds
94,Sayyan,YE,15.1718,44.3244,54.21,64,48,5.39,scattered clouds
95,Castro,BR,-24.7911,-50.0119,82.47,48,0,3.69,clear sky
96,Dhidhdhoo,MV,6.8833,73.1,80.55,75,6,5.26,clear sky
97,Kapoeta,SS,4.7717,33.5903,91.15,21,3,16.4,clear sky
98,Bathsheba,BB,13.2167,-59.5167,78.82,61,83,16.62,broken clouds
99,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.49,77,66,10.07,broken clouds
100,Faya,SA,18.3851,42.4509,58.21,56,3,5.91,clear sky
101,Sangin,AF,32.0728,64.8359,43.7,58,99,3.24,overcast clouds
102,Belaguntha,IN,19.8833,84.65,69.89,74,0,2.06,clear sky
103,Longyearbyen,SJ,78.2186,15.6401,22.84,74,40,16.11,light snow
104,Platonovka,RU,52.7106,41.952,15.96,91,100,5.95,overcast clouds
105,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,79.0,87,100,4.16,light rain
106,Buraydah,SA,26.326,43.975,61.77,42,0,7.54,clear sky
107,Souillac,MU,-20.5167,57.5167,80.22,85,79,6.42,light rain
108,Fethiye,TR,36.6217,29.1164,55.27,83,14,2.19,few clouds
109,Kuryk,KZ,43.2,51.65,35.91,48,3,14.54,clear sky
110,Noyabrsk,RU,63.1994,75.4507,2.48,97,85,9.31,overcast clouds
111,Plotnikovo,RU,55.0247,85.9436,19.74,89,100,16.11,light snow
112,Obodivka,UA,48.4051,29.2477,26.26,62,74,12.57,broken clouds
113,Sao Felix Do Xingu,BR,-6.6447,-51.995,84.27,66,99,1.81,overcast clouds
114,Port Elizabeth,ZA,-33.918,25.5701,66.49,94,100,13.8,heavy intensity rain
115,Qasigiannguit,GL,68.8193,-51.1922,16.05,87,100,10.71,overcast clouds
116,Saldanha,ZA,-33.0117,17.9442,65.16,71,63,32.93,broken clouds
117,Dharmadam,IN,11.7833,75.4333,75.7,81,22,6.4,few clouds
118,Sao Filipe,CV,14.8961,-24.4956,75.88,66,44,11.68,scattered clouds
119,Jamestown,US,42.097,-79.2353,33.39,74,100,12.66,overcast clouds
120,Marzuq,YE,14.4,46.4667,65.66,58,90,6.33,overcast clouds
121,Guapi,CO,2.5708,-77.8854,81.73,78,85,5.01,light rain
122,Talnakh,RU,69.4865,88.3972,-1.61,96,99,6.85,overcast clouds
123,Besancon,FR,47.2488,6.0182,34.79,71,88,9.6,overcast clouds
124,Carnarvon,AU,-24.8667,113.6333,75.81,75,0,18.57,clear sky
125,Umm Lajj,SA,25.0213,37.2685,75.78,66,1,2.35,clear sky
126,Ponta Delgada,PT,37.7333,-25.6667,59.72,67,40,14.97,scattered clouds
127,Torbay,CA,47.6666,-52.7314,31.75,65,8,3.0,clear sky
128,Halifax,CA,44.6453,-63.5724,39.22,74,64,12.66,broken clouds
129,Henties Bay,NA,-22.116,14.2845,67.03,80,45,10.67,scattered clouds
130,Mehamn,NO,71.0357,27.8492,33.71,80,100,9.22,overcast clouds
131,Kigoma,TZ,-4.8769,29.6267,77.95,73,30,6.96,scattered clouds
132,Gorele,TR,41.0308,39.0031,51.08,68,100,3.4,overcast clouds
133,Beaupre,CA,47.0443,-70.8953,31.66,97,100,8.55,snow
134,Chavakkad,IN,10.5333,76.05,77.11,79,2,6.53,clear sky
135,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,69,62,11.61,broken clouds
136,Birao,CF,10.2849,22.7882,91.85,9,99,5.23,overcast clouds
