City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2023-01-24 19:10:59,-54.8,-68.3,53.22,49,93,9.6
1,General Roca,AR,2023-01-24 19:11:00,-39.0333,-67.5833,81.63,10,100,20.47
2,Bredasdorp,ZA,2023-01-24 19:11:00,-34.5322,20.0403,63.25,50,94,9.42
3,Busselton,AU,2023-01-24 19:11:00,-33.65,115.3333,59.65,81,2,12.5
4,Vestmannaeyjar,IS,2023-01-24 19:11:01,63.4427,-20.2734,43.47,80,100,21.43
5,Mubarakpur,IN,2023-01-24 19:11:01,26.09,83.2922,62.06,68,0,5.26
6,Cobija,BO,2023-01-24 19:11:01,-11.0267,-68.7692,89.6,50,68,8.95
7,Omboue,GA,2023-01-24 19:11:02,-1.5746,9.2618,79.12,80,100,4.25
8,Road Town,VG,2023-01-24 19:11:02,18.4167,-64.6167,82.49,61,40,9.22
9,Jamestown,US,2023-01-24 19:08:26,42.097,-79.2353,33.03,58,100,17.27
10,Yabelo,ET,2023-01-24 19:11:02,4.8833,38.0833,68.16,30,85,17.56
11,Siuna,NI,2023-01-24 19:11:03,13.7332,-84.7773,82.72,63,62,7.02
12,Punta Arenas,CL,2023-01-24 19:06:12,-53.15,-70.9167,53.71,40,40,29.93
13,Lebu,CL,2023-01-24 19:11:03,-37.6167,-73.65,62.67,63,5,15.05
14,Victoria,HK,2023-01-24 19:06:40,22.2855,114.1577,54.25,48,97,11.99
15,La Rioja,ES,2023-01-24 19:08:26,42.25,-2.5,28.18,87,100,4.36
16,Sorland,NO,2023-01-24 19:11:04,67.667,12.6934,33.66,100,100,24.83
17,Sakakah,SA,2023-01-24 19:08:57,29.9697,40.2064,52.34,51,0,9.33
18,Grand Gaube,MU,2023-01-24 19:11:04,-20.0064,57.6608,74.37,85,100,3.0
19,Ikot Ekpene,NG,2023-01-24 19:11:05,5.1794,7.7108,83.07,66,100,7.05
20,Trincomalee,LK,2023-01-24 19:11:05,8.5711,81.2335,77.18,73,21,11.27
21,Tasiilaq,GL,2023-01-24 19:11:05,65.6145,-37.6368,17.76,64,92,7.45
22,Sao Francisco De Assis,BR,2023-01-24 19:11:06,-29.5503,-55.1311,103.96,13,2,8.41
23,Port Alfred,ZA,2023-01-24 19:08:22,-33.5906,26.891,68.18,79,100,8.99
24,Hermanus,ZA,2023-01-24 19:11:06,-34.4187,19.2345,62.8,51,94,9.35
25,Padang,ID,2023-01-24 19:11:07,-0.9492,100.3543,75.36,76,100,3.76
26,Souillac,MU,2023-01-24 19:11:07,-20.5167,57.5167,73.78,94,75,3.44
27,Hambantota,LK,2023-01-24 19:11:07,6.1241,81.1185,73.76,81,32,12.06
28,Mankachar,IN,2023-01-24 19:11:08,25.5333,89.8667,64.36,53,92,5.66
29,Hithadhoo,MV,2023-01-24 19:11:08,-0.6,73.0833,80.85,76,100,13.13
30,Ribeira Grande,PT,2023-01-24 19:11:08,38.5167,-28.7,63.0,72,20,16.11
31,Marawi,PH,2023-01-24 19:11:09,7.9986,124.2928,67.8,97,100,3.22
32,Kaspi,GE,2023-01-24 19:11:09,41.9252,44.4257,32.27,72,3,4.68
33,Saint-Philippe,RE,2023-01-24 19:11:09,-21.3585,55.7679,72.99,89,100,14.23
34,Balad,IQ,2023-01-24 19:07:16,34.0164,44.1453,54.03,39,0,4.63
35,Kushmurun,KZ,2023-01-24 19:11:10,52.4503,64.6311,-2.15,99,76,8.14
